Address,Allocation %,Type,Sum,,,
0xbfe24b4d8b1e421ca8794f6416946db505d6dbd7,0.02%,User,,,,
0x06bbb810cb898a4f38245aaa42144ad1ea81cbcd,0.02%,User,,,,
0x285fed35cbea271a711681e84ffd83c68a596a75,0.02%,User,,,,
0x935891bdcbda993c3fff2171e17b0fdd3d70c288,0.02%,User,,,,
0x3e3314979a1d142633ff3bbd45f9c9d963334bc4,0.02%,User,,,,
0x9b09baf2478ef9beae9e1a35696b23063bee16ac,0.02%,User,,,,
0x53d7ecdcbf8793c49f38e6f99e2b850bb112e02d,0.02%,User,,,,
0xbe8c604c99c7bae4ccd6876c4a528945a107e05d,0.02%,User,,,,
0x09933fd6288b75611489569e5aadaa198414e44b,0.02%,User,,,,
0xc2a2d3ff66283acefeb41533331d539b4020b86c,0.02%,User,,,,
0x1563cf31424cf6aae088d3223830dc4dfae82b5a,0.01%,User,,,,
0x9aed217131326044fc10417553aafb0f6a39f03b,0.01%,User,,,,
0xdac3f0e0283a112fbe6deb5fb666b174767ba7ca,0.01%,User,,,,
0xa8992310f620dc8f23f9cf4fad90a2f2380d8d6a,0.01%,User,,,,
0x8770dbd97a61c39a7c4c5ed256076135d64a242a,0.01%,User,,,,
0x5261a4601f8e3016555a31f5b281d8ad57e1233d,0.01%,User,,,,
0xbc928b094e56decc44e00af4e8d0fb9bfb425adb,0.01%,User,,,,
0xbde8bf5de45338c3f0cba476343968489f9f888c,0.01%,User,,,,
0x8d655b1af80200a6b81e11482fdea66328b16e05,0.01%,User,,,,
0xba133a363d3aa68b0373a7b6f32e3b779e2634ac,0.01%,User,,,,
0x9541587c25cad9ddda3dffbe80287a3fd7ef7241,0.01%,User,,,,
0x85f0fb69bcb44d231884fbe0014fd95d16d659a4,0.01%,User,,,,
0x5be66f4095f89bd18abe4ae9d2acd5021ec433bc,0.01%,User,,,,
0xb556575e8c28bab34d1dae7735b78111ec46936d,0.01%,User,,,,
0xdeb7aa6e7f5b8daa43126628daecd79e853478da,0.01%,User,,,,
0x5bd39d83f9b832bd9aa951c6ea3bf1cc00c2871b,0.01%,User,,,,
0xba133a363d3aa68b0373a7b6f32e3b779e2634ac,0.01%,User,,,,
0xf6f023649eca853ded6cf6d5a32e27a0eacb857e,0.01%,User,,,,
0x0243d1863b29155ddde9c83b8e040835140970e2,0.01%,User,,,,
0x759a4fa4ed5e2b5255cad626712a45418d283498,0.01%,User,,,,
0x3a1cd795aeace1db3e1f184d37350107d02dd6bf,0.01%,User,,,,
0x15dffa44f628c22f60a74a1342298b0abca8c293,0.01%,User,,,,
0xfbdf96020c596847a2f789df3d9dacf93b89ba7c,0.01%,User,,,,
0x0bc49f0fa5830b0fddb99af623e90d3c416861d6,0.01%,User,,,,
0x54ac8656a41519b83d5d8d677fb10ee01527fe9c,0.01%,User,,,,
0xc12de812ae612b6d514b52d529f97f6acb524c8e,0.01%,User,,,,
0xefd44dbcdc013fefac7616d0ed604287c3b47bf3,0.01%,User,,,,
0xbf203ef16425aeec796b58ea3266b3271805d2f1,0.01%,User,,,,
0xbcc324d812c940e8188ac9f38a0526235b6b75c6,0.01%,User,,,,
0xcc6f1c93a0ee04dfd90d04ad00b4f6e705a5bf60,0.01%,User,,,,
0xa60b37dfa9ab86ed7ef9045f037fb1b024c96bc3,0.01%,User,,,,
0xddc60d163015cf5ca1369d557a2ca1cc2de1f1e3,0.01%,User,,,,
0xd9ab21a6dfd41381be958cebf90e081ca1420651,0.01%,User,,,,
0x54bf5834b8ac11a33f98dd3283e496d89768f490,0.01%,User,,,,
0xfc85908508aad055baea748b3dadc795591aa0bf,0.01%,User,,,,
0xfd614a920e650d66fa066cf54252cf20f61c9eff,0.01%,User,,,,
0xf570088ecc1eafa73bb649f5c79a724e4ae10af6,0.01%,User,,,,
0xb9f84ec4dd749f92b01bf31461cc3777b2055f48,0.01%,User,,,,
0xc437b7985468ec7fc14f2a810b852f400a918392,0.01%,User,,,,
0x46ab107b3632fc7140e7b2294e5d803774eb9c88,0.01%,User,,,,
