Address,Allocation,Type,Sum Check
0x8af273cf28be6131b378949cb2d6899a5a181c4e,0.1099%,Token Holder,
0x5afd301a695e1981f6f1689e33b9529139660a25,0.1099%,Token Holder,
0xd1fd45711b8b1fbcf2e800726f18f59135b6f8e2,0.1099%,Token Holder,
0x6ebc4af1ee327ca974c84a406d12b702f9c7c62f,0.1099%,Token Holder,
0xafeacd56a76ecc95c53766502b9513cfb3af90c6,0.1099%,Token Holder,
0x688a1fc91724beb584355dd231760cda3c5fa4f9,0.1099%,Token Holder,
0x896c46c833cfc0e3645eb2496dee9ed122ab9faa,0.1099%,Token Holder,
0xca6d24ecab16da92e15584b0dc06e2b1105e8b47,0.1099%,Token Holder,
0xb1c0f764f2b9912547b2ac6b98f4c5e652ef88c2,0.1099%,Token Holder,
0x149be6fd6b06c7ef86e311896797d8379bbf900c,0.1099%,Token Holder,
0xa07579547d023c62ab87598ec7099989a3f57e0a,0.1099%,Token Holder,
0x3e353b706ec33ff73af6a3eb96899873bfd4bfda,0.1099%,Token Holder,
0x980596b619b8c7f1dcff739cb82123977c175636,0.1099%,Token Holder,
0x55247b3505cdecaa01f516fdf27741f2820ee387,0.1099%,Token Holder,
0x6e4134bc93a19c789e74bff9b9354c588792ff33,0.1099%,Token Holder,
0x7b9340aac5cabb153b58433d53ab82cdda1927a1,0.1099%,Token Holder,
0xae6ca342387665f4c4879e7326a03080d1b6635b,0.1099%,Token Holder,
0xb43bc33c83ba382cf814746e8914adf4c87e1a02,0.1099%,Token Holder,
0xdbae00e784bd7f25f29ba186e2419d4af66adc10,0.1099%,Token Holder,
0x94e08736426948c5f463ac243416f0473f680b2b,0.1099%,Token Holder,
0xd2e96014d4fa487c251f089f884d5e4ac8d39310,0.1099%,Token Holder,
0x6c21fd6b0b24089aae9205a244bf62c986fbdbb0,0.1099%,Token Holder,
0xef006d5ac08e1c337f89923ded88391d041b1b1d,0.1099%,Token Holder,
0x5d0ce7f68f94b64b234063605e2cf9258d77edf3,0.1099%,Token Holder,
0x49b166e37bdafd48bde3c8a9e9cecdf0d1d5be83,0.1099%,Token Holder,
0x769422551c977a89e2b7f1f2438f1cd26cb5d0c4,0.1099%,Token Holder,
0x496dad6e9a5fd721c662c7f3314f431fc9611f91,0.1099%,Token Holder,
0xcdff92e32aed0ba226a1203c32c0f21400f11515,0.1099%,Token Holder,
0x9bdfd6584e878fdef168614d986ad0e33a88c3b3,0.1099%,Token Holder,
0xed8137edd0ebf724feaa3679c24cbdc5c314a1e4,0.1099%,Token Holder,
0x16378cc5d9190b650d7ff6685aed95787ae93eee,0.1099%,Token Holder,
0x85d8e90a3dbd47833eb5189d6d1648cc1226330a,0.1099%,Token Holder,
0xa91e4bdb30f89819dc01682b7ad04b2071fd0dc4,0.1099%,Token Holder,
0xb9d927f7f5572d3fe32397607f95d06cae5a08c4,0.1099%,Token Holder,
0x14bc3a804b2f7e7d114af71e4e260190af93601e,0.1099%,Token Holder,
0x350cbb6e8cb8424f15d5ee211dffbede125d8268,0.1099%,Token Holder,
0x9320ed7b32db6156e68b8b5d118cc0475c488a57,0.1099%,Token Holder,
0x7442ecc6c7545001fa111b2536bbc1162b01646f,0.1099%,Token Holder,
0x8420b0abeb0293ebea167c6c4f23556781a79ede,0.1099%,Token Holder,
0xf1c5529e15f987f0c6410fc1bceb500a4bd74a8d,0.1099%,Token Holder,
0xe0668fa6fa1d729fb33a319662b6bd4a2b1d4816,0.1099%,Token Holder,
0x0c3a50b75db3970f0220cb07c3f6e39af37762fe,0.1099%,Token Holder,
0xd8cb3f2c57e84c880a247e3576e07f0b6debc278,0.1099%,Token Holder,
0xc821b2112e17e88cf124c5be3e6af817ba23b868,0.1099%,Token Holder,
0xcde40b10adb1d0ef3a45f1259123df96e0006d6c,0.1099%,Token Holder,
0xa46d5cd903dc1f65bdc5821333ed86d7f727eaaf,0.1099%,Token Holder,
0xdbbe0c2aa21948f161156e9153d8e0a19b447b33,0.1099%,Token Holder,
0x34f543a73dcb1a4bcbae71e5dd41fcc1b5c17bf7,0.1099%,Token Holder,
0x53485b878299c79569fc2c2516eeb34c46e0f6ee,0.1099%,Token Holder,
0x1a471f130f319e084b043e7613744d565d735631,0.1099%,Token Holder,
0x1619f6cb37dfef1b629a2b63521a60586f1e8d88,0.1099%,Token Holder,
0xb09f7b2dfe1beb4ff88e9cc1d4aacc4a8f217b0a,0.1099%,Token Holder,
0x13a3dc47800fe94befb51ee774413a46b887040a,0.1099%,Token Holder,
0x49cfe051539eb6626e4483396c32c6283da1b70c,0.1099%,Token Holder,
0x464fc339add314932920d3e060745bd7ea3e92ad,0.1099%,Token Holder,
0x269a799cc7ccae446073143f32ef6713aa4c4c79,0.1099%,Token Holder,
0xa2408bef8e3c4b330c2a85aa1620d78b0ca3d09f,0.1099%,Token Holder,
0x52a9145290023f67d97ba768edaf7e7b4919364c,0.1099%,Token Holder,
0x70c0406f3fdd05cac9170c4c05b4b0ae770310a4,0.1099%,Token Holder,
0xd08df1019607707effe0010d2ef0dd3ad496d438,0.1099%,Token Holder,
0x466bbad82e97bd6bba781b1b8d172d16e1c52d23,0.1099%,Token Holder,
0x8961869e37a296524f76b8c6f04f3a080d8fd824,0.1099%,Token Holder,
0x51b30d14a82df7f4a58560b30645b883488c1136,0.1099%,Token Holder,
0x965153a45891b1e9ab66c6e22f801165e52f8d15,0.1099%,Token Holder,
0x98b2e9bb3fea78b6f2bbb2e289dd11012be79c54,0.1099%,Token Holder,
0x2cd1aae729f93443d823070e1d7e619ddcb2f2cd,0.1099%,Token Holder,
0xdcdc557cc8227f14b0b5823930cbe4da62ac4d98,0.1099%,Token Holder,
0x1341bf5de50014d69bc1322e25a56c0f218d5608,0.1099%,Token Holder,
