Address,Allocation % ,Type ,SumCheck 
0x2520B37272D7dEbF3d653DD1Dc90700d4e9Bf66C,0.067809896348070700%,staker,
0xE7b1996a3aAC10D65e11dA3106b112Cf2abb89AA,0.067661078640046800%,staker,
0x6478004bbcFeA8E14D4BcE949AE12bf66483513d,0.067216012567415800%,staker,
0xb0eCd7872CA78d86f89f49D85e927Bb4dFC9bE32,0.066546142565633200%,staker,
0x762A02bbE7fe9c6C2C7aaB887f849150B19C6720,0.066357600298458200%,staker,
0x3b05508c2246729a14c792e7Df91d37171f26715,0.066117939773553000%,staker,
0x23d7C2fb9F163441874d72399B28d677f47020b0,0.065787216703372500%,staker,
0xeD5AA66cb0F9281F245BbBd965A2f99920f239C6,0.065145549015014800%,staker,
0x3693532f413cdd57961b858C9BD0e2D330aaB6E8,0.064881489847858400%,staker,
0x77bca538b85BBf760854F50512b71868D787C7b9,0.063856182493719500%,staker,
0xD83991E8F2baD8cD45060A47CFD0EE3D5C557FCD,0.063541912469438500%,staker,
0xA7F96f024aB22a0Ca21baCD40afBc59141E321Ce,0.063537639272039000%,staker,
0x1e5785393c7d5a876a76A881D1E68a2cA8BB8F23,0.063237982101076900%,staker,
0xfC8265982E5a5414eB0ff37b82f17cd9FFE73CdB,0.062793062597886700%,staker,
0xEda49bC74121b77FB0E848Cb30975bCA4704B6C4,0.062788261022128500%,staker,
0xFafef9EB6A3e6cA7d47e3Eb38f260ADE47AF5E7a,0.062303977384230300%,staker,
0x8c290020e9d9e2624DC67004F3cC2F22baC2d384,0.062098174973119500%,staker,
0xd13911D2EeB1D02bC9F4a358Fc4c660aA60a9adC,0.061975715260906000%,staker,
0xDF1e457cf8cDBf970F1a5c65a5142c4E708597b5,0.061522628180965300%,staker,
0xB30d83c515B344FED7bb8025C5c5E5F3a52F212b,0.061380705424008600%,staker,
0x216d516fBb26803969474183F1e52cD4361e5985,0.060943407422468300%,staker,
0x4911aF8179610398995D347eDbe6551bd9D2B345,0.060859554254897400%,staker,
0x174B5d09fE4fc838fDC706752AB5158d9aFDeD38,0.060779397364023600%,staker,
0x6691B96712bc93B8529A27259Ab4435Fc5E506E7,0.060657901565121100%,staker,
0x4Fa0E3362Ac4eE25588E8d751D79C5E33080aAF9,0.060554819598258700%,staker,
0x723C4B964936De84402E63BD54706FbcDE01e5df,0.059675551676260400%,staker,
0x414690eD7A9096FeF98a9f333f6Db8905EccD1e1,0.059472656557112900%,staker,
