User Address,RFP Allocation,User Type
0x36fe068b39ac95466cae17e80363c3adb50e98db,0.033358155017387300%,General Depositor/Borrower/Protocol User
0xff643a1ab6818f11589a56dddfd18605f30ef1ce,0.029583193731388200%,General Depositor/Borrower/Protocol User
0x92a89abccfe1b1d257b13ec9a57a461a7d8348b4,0.018497943008711200%,General Depositor/Borrower/Protocol User
0x655fff40136bae847169e9920b75da742b3c62f7,0.040641897633779900%,General Depositor/Borrower/Protocol User
0x3169233e58ec105e33a88fe21379188ef17570fd,0.025617778829623000%,General Depositor/Borrower/Protocol User
0xd69ce3cb5ce1fe8dd835293aacd6897caa3f77e5,0.047769969362080200%,General Depositor/Borrower/Protocol User
0xc8768c99eca13752e9190aa58cc0497caac4d78b,0.051457548182262000%,General Depositor/Borrower/Protocol User
0x37749f66f360d9de7b8b1f7928d839aa52ab2f91,0.014480661761795900%,General Depositor/Borrower/Protocol User
0x8e9a87e2ec35bafafb8a93d81b589eca92577054,0.025522924638540500%,General Depositor/Borrower/Protocol User
0x0c3458dc74cd062e0754d5def7d0e70f93185e38,0.032799444087778900%,General Depositor/Borrower/Protocol User
0x46e3afb8e79d35bc83ad41a84443dd8e26bb5d33,0.051235059683628600%,General Depositor/Borrower/Protocol User
0x725e052c654f3e55a843e0033a1470289ddd020a,0.014272854072860600%,General Depositor/Borrower/Protocol User
0xeaac6a65bd9ffdfdf33150ab68e3fd45008b1f29,0.073255477863077300%,General Depositor/Borrower/Protocol User
0xe8c97650aa7e4525cc45851af5b2f5f81403432a,0.028894490729862400%,General Depositor/Borrower/Protocol User
0xe6798c54c8174824992c921acae18489c2a88ba8,0.014109469964937200%,General Depositor/Borrower/Protocol User
0xc66e0f716af8216a85f46ca7fdf306c6c42fc198,0.025073281672716500%,General Depositor/Borrower/Protocol User
0xe023d9ead98a431a88e913629599884839cdf92f,0.013957493414527900%,General Depositor/Borrower/Protocol User
0x725fde1292357918abf7968089c8c590388d27a5,0.021237524864074700%,General Depositor/Borrower/Protocol User
0xda36cc4136a24035d2fa1e35873cfb6b4ebf4321,0.032255724505039500%,General Depositor/Borrower/Protocol User
0x73ddb82ca47befdce546aed8221d60a5123f06dc,0.024781612072616100%,General Depositor/Borrower/Protocol User
0x61546a4c585d1d6f3e784f823e4815bdea191e55,0.032026840954150100%,General Depositor/Borrower/Protocol User
0xaff9e92b86858f6a284f226a23beafad89dead2f,0.017202650486761700%,General Depositor/Borrower/Protocol User
0xc61fe428535bc9185d680240576e06ec89005900,0.017113950197968600%,General Depositor/Borrower/Protocol User
0xccc8530c0f21f8a3eeb247d183a2f6c23cd96218,0.020801626601856000%,General Depositor/Borrower/Protocol User
0x428da8195f02b2b9f44fddf3ecc13caeef8634fe,0.013369194806933600%,General Depositor/Borrower/Protocol User
0xc924c5c23059496f7f9c95e6a4e180ab7c02a58e,0.013291317534749600%,General Depositor/Borrower/Protocol User
0x95aaef5544c20de05598cdde21f661b47a636718,0.068676779594457500%,General Depositor/Borrower/Protocol User
0xb3f876c9972339a1405346b1a8a27204f0bc154a,0.016950814066922300%,General Depositor/Borrower/Protocol User
0xef22d4235aa03bffa3f52f27edb09d62bb204a25,0.061215057426404600%,General Depositor/Borrower/Protocol User
0xbf3519e4b22544ac25712556b85c92396f17070b,0.035233869702867200%,General Depositor/Borrower/Protocol User
0x33b9982cf4b9d8e33a27bfb65911881d5802c12e,0.013006087160684400%,General Depositor/Borrower/Protocol User
0xfd95645550492f1e4d94bdfd757300f3abf6bedb,0.016645353159495200%,General Depositor/Borrower/Protocol User
